# High Power Motor (Up to date)
# 1117 data points written for 4 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,27.693,NaN
0.0013847,0.27693,102.61,NaN
0.0092859,1.3034,145.5,NaN
# Event LIFTOFF occurred at t=0.03 seconds
0.029597,2.759,141.66,NaN
0.064274,4.1765,137.46,NaN
0.11292,5.552,135.57,NaN
0.17522,6.9084,135.25,NaN
0.25107,8.2617,134.93,NaN
0.34043,9.6118,134.61,NaN
0.44329,10.959,134.28,NaN
0.55959,12.302,133.96,NaN
0.68931,13.643,133.92,NaN
0.83244,14.983,134.3,NaN
0.98898,16.327,134.69,NaN
1.159,17.674,135.07,NaN
1.3425,19.026,135.46,NaN
1.5395,20.381,135.84,NaN
1.7501,21.74,136.23,NaN
1.9743,23.103,136.61,NaN
2.2122,24.47,136.99,NaN
2.4638,25.841,137.37,NaN
2.729,27.215,137.75,NaN
3.0081,28.594,138.14,NaN
3.3009,29.976,138.52,NaN
3.6076,31.362,138.9,NaN
3.9282,32.752,139.28,NaN
4.2627,34.145,139.66,NaN
4.6111,35.542,140.03,NaN
4.9735,36.943,140.41,NaN
# Event LAUNCHROD occurred at t=0.29 seconds
5.35,38.348,140.78,1.1575
5.9411,40.462,141.4,1.1785
6.8873,43.649,142.31,1.2064
8.4417,48.463,143.65,1.2453
11.045,55.669,145.37,1.3008
14.01,62.957,146.96,1.3578
17.342,70.323,148.54,1.4089
21.045,77.768,150.08,1.4595
25.121,85.29,151.6,1.5176
29.575,92.886,153.09,1.57
34.411,100.56,154.54,1.6263
39.633,108.3,155.95,1.677
45.243,116.11,157.33,1.7225
51.245,123.99,158.66,1.7373
57.643,131.93,160.29,1.733
64.441,139.96,162.17,1.7314
71.642,148.08,164.05,1.7457
79.251,156.29,164.77,1.7727
87.272,164.54,164.51,1.804
95.705,172.78,164.23,1.8434
104.55,181,163.68,1.8936
113.8,189.2,162.91,1.948
123.47,197.35,162.08,1.983
133.54,205.46,161.2,1.9889
144.01,213.53,160.22,2.0119
154.89,221.54,159.14,2.0497
166.17,229.49,157.94,2.1044
177.84,237.39,156.36,2.163
189.9,245.2,154.08,2.1853
202.36,252.9,151.72,2.2121
215.19,260.48,149.37,2.2526
228.4,267.94,147.02,2.3063
241.98,275.28,144.64,2.3587
255.93,282.5,142.19,2.387
270.23,289.6,139.65,2.4214
284.88,296.57,137,2.4686
299.88,303.4,134.25,2.5244
315.22,310.1,131.51,2.5606
330.89,316.66,128.8,2.5984
346.88,323.08,126.23,2.6447
