# High Power Motor (Up to date)
# 1116 data points written for 7 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Mass (g),Stability margin calibers (?),Thrust (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,27.731,23101,NaN,866.54
0.01,0.0013847,0.27731,102.75,23101,NaN,2599.6
0.02,0.0092859,1.3052,145.7,23093,NaN,3590.4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.029597,2.7628,141.85,23080,NaN,3499.8
0.04,0.064274,4.1822,137.65,23064,NaN,3400.5
0.05,0.11292,5.5596,135.75,23048,NaN,3354.4
0.06,0.17522,6.9179,135.43,23031,NaN,3344.9
0.07,0.25107,8.2731,135.11,23015,NaN,3335.3
0.08,0.34043,9.625,134.79,23000,NaN,3325.7
0.09,0.44329,10.974,134.47,22984,NaN,3316.2
0.1,0.55959,12.319,134.14,22968,NaN,3306.6
0.11,0.68931,13.661,134.1,22952,NaN,3303.7
0.12,0.83244,15.003,134.49,22936,NaN,3310.4
0.13,0.98898,16.349,134.87,22920,NaN,3317.1
0.14,1.159,17.698,135.26,22903,NaN,3323.9
0.15,1.3425,19.052,135.64,22887,NaN,3330.6
0.16,1.5395,20.409,136.03,22871,NaN,3337.4
0.17,1.7501,21.77,136.41,22855,NaN,3344.2
0.18,1.9743,23.135,136.79,22839,NaN,3350.9
0.19,2.2122,24.504,137.18,22823,NaN,3357.7
0.2,2.4638,25.876,137.56,22806,NaN,3364.4
0.21,2.729,27.252,137.94,22790,NaN,3371.2
0.22,3.0081,28.633,138.32,22774,NaN,3377.9
0.23,3.3009,30.017,138.7,22758,NaN,3384.7
0.24,3.6076,31.404,139.09,22742,NaN,3391.5
0.25,3.9282,32.796,139.47,22726,NaN,3398.2
0.26,4.2626,34.192,139.85,22709,NaN,3405
0.27,4.6111,35.591,140.22,22693,NaN,3411.7
0.28,4.9735,36.994,140.6,22677,NaN,3418.5
# Event LAUNCHROD occurred at t=0.29 seconds
0.29,5.35,38.401,140.98,22661,1.1226,3426.9
0.305,5.941,40.518,141.59,22641,1.1452,3439.6
0.3275,6.8873,43.709,142.51,22610,1.1777,3458.6
0.36125,8.4416,48.53,143.85,22565,1.2247,3485.2
0.41125,11.045,55.746,145.57,22495,1.2933,3513.1
0.46125,14.01,63.044,147.18,22409,1.3521,3540.8
0.51125,17.342,70.421,148.76,22323,1.4037,3568.5
0.56125,21.044,77.878,150.33,22236,1.4598,3596.2
0.61125,25.121,85.412,151.88,22150,1.5113,3623.9
0.66125,29.575,93.023,153.4,22063,1.5642,3651.5
0.71125,34.411,100.71,154.89,21977,1.6186,3679.2
0.76125,39.632,108.47,156.36,21890,1.674,3706.9
0.81125,45.243,116.3,157.8,21804,1.731,3734.6
0.86125,51.245,124.2,159.2,21717,1.7261,3762.3
0.91125,57.643,132.18,160.91,21631,1.7252,3797.2
0.96125,64.44,140.23,162.87,21541,1.7354,3838.1
1.0113,71.641,148.38,164.82,21450,1.7472,3878.9
1.0613,79.25,156.63,165.58,21358,1.7665,3895.3
1.1113,87.271,164.92,165.33,21266,1.7957,3891
1.1613,95.703,173.19,165.04,21173,1.8344,3886.7
1.2113,104.55,181.45,164.44,21081,1.89,3877.3
1.2613,113.8,189.68,163.58,20988,1.9484,3863.9
1.3113,123.47,197.86,162.67,20897,1.9724,3850.5
1.3613,133.54,206,161.7,20805,1.9835,3837.1
1.4113,144.01,214.09,160.67,20714,2.0017,3823.7
1.4613,154.89,222.12,159.58,20622,2.0419,3810.3
1.5113,166.16,230.1,158.44,20531,2.0972,3796.9
1.5613,177.83,238.02,156.94,20439,2.1635,3777.4
1.6113,189.9,245.87,154.75,20350,2.1838,3745.5
1.6613,202.35,253.59,152.46,20264,2.2073,3713.2
1.7113,215.19,261.21,150.1,20178,2.2428,3681
1.7613,228.4,268.7,147.68,20092,2.2958,3648.7
1.8113,241.97,276.07,145.19,20007,2.3564,3616.5
1.8613,255.92,283.32,142.65,19921,2.3798,3584.2
1.9113,270.22,290.44,140.07,19835,2.4178,3552
1.9613,284.87,297.43,137.44,19749,2.4685,3519.7
2.0113,299.87,304.29,134.76,19664,2.5273,3487.5
2.0613,315.21,311.01,132.11,19578,2.5552,3455.2
2.1113,330.88,317.6,129.43,19492,2.5949,3422.9
2.1613,346.87,324.05,126.82,19406,2.6458,3393
2.2113,363.18,330.37,124.35,19323,2.6837,3366.7
2.2613,379.8,336.57,121.82,19244,2.7101,3340.5
2.3113,396.73,342.63,118.54,19164,2.7499,3314.4
2.3612,413.96,348.51,115.15,19085,2.7792,3288.2
2.4112,431.47,354.23,112.1,19006,2.7958,3262
2.4612,449.26,359.81,110.07,18926,2.8287,3249.8
2.5112,467.33,365.29,109.48,18848,2.8423,3259.2
2.5612,485.68,370.75,109.21,18770,2.8508,3268.8
2.6112,504.29,376.21,109.11,18692,2.8724,3278.4
2.6612,523.18,381.66,109.2,18614,2.8688,3288
2.7112,542.33,387.12,97.325,18536,2.8717,3072.6
2.7612,561.75,391.98,34.778,18465,2.8787,1920
2.8112,581.33,393.73,19.761,18408,2.8759,914.76
2.8612,600.92,392.74,43.179,18370,2.8923,480.62
2.9112,620.44,390.59,60.13,18351,2.907,163.25
2.9612,639.84,387.6,67.304,18343,2.9127,22.737
# Event BURNOUT occurred at t=3.0112 seconds
# Event EJECTION_CHARGE occurred at t=3.0112 seconds
3.0112,659.07,384.25,67.933,18340,2.932,0
3.0612,678.13,380.87,67.236,18340,2.9333,0
3.1112,697.03,377.53,66.527,18340,2.9417,0
3.1612,715.76,374.22,65.712,18340,2.9576,0
3.2112,734.33,370.95,64.924,18340,2.9515,0
3.2612,752.74,367.73,64.012,18340,2.9557,0
3.3112,770.98,364.55,63.105,18340,2.9652,0
3.3612,789.07,361.42,62.078,18340,2.957,0
3.4112,807,358.35,61.06,18340,2.9599,0
3.4612,824.79,355.32,59.956,18340,2.9625,0
3.5112,842.42,352.35,58.827,18340,2.9519,0
3.5612,859.9,349.44,57.648,18340,2.9521,0
3.6112,877.25,346.59,56.375,18340,2.9476,0
3.6612,894.45,343.8,55.169,18340,2.9375,0
3.7112,911.51,341.07,53.833,18340,2.94,0
3.7612,928.44,338.42,52.544,18340,2.9274,0
3.8112,945.24,335.82,51.369,18340,2.9208,0
3.8612,961.91,333.27,50.55,18340,2.925,0
3.9112,978.46,330.77,49.766,18340,2.9127,0
3.9612,994.88,328.3,49.01,18340,2.9048,0
4.0112,1011.2,325.86,48.28,18340,2.9035,0
4.0612,1027.4,323.47,47.576,18340,2.8963,0
4.1112,1043.4,321.11,46.892,18340,2.8838,0
4.1612,1059.4,318.78,46.218,18340,2.879,0
4.2112,1075.2,316.48,45.561,18340,2.8722,0
4.2612,1090.9,314.22,44.924,18340,2.8599,0
4.3112,1106.5,311.99,44.307,18340,2.854,0
4.3612,1122,309.79,43.71,18340,2.8451,0
4.4112,1137.4,307.62,43.125,18340,2.8341,0
4.4612,1152.6,305.48,42.545,18340,2.832,0
4.5112,1167.8,303.37,41.983,18340,2.8214,0
4.5612,1182.9,301.28,41.428,18340,2.8129,0
4.6112,1197.8,299.22,40.873,18340,2.8059,0
4.6612,1212.7,297.19,40.336,18340,2.8018,0
4.7112,1227.5,295.19,39.813,18340,2.7886,0
4.7612,1242.1,293.21,39.294,18340,2.7856,0
4.8112,1256.7,291.26,38.788,18340,2.7764,0
4.8612,1271.1,289.34,38.298,18340,2.7682,0
4.9112,1285.5,287.43,37.823,18340,2.7667,0
4.9612,1299.8,285.55,37.363,18340,2.7572,0
5.0112,1314,283.7,36.91,18340,2.7483,0
5.0612,1328,281.86,36.46,18340,2.7472,0
5.1112,1342,280.05,36.021,18340,2.7427,0
5.1612,1356,278.26,35.593,18340,2.7337,0
5.2112,1369.8,276.49,35.178,18340,2.7309,0
