# Simulation 1 (Up to date)
# 404 data points written for 4 variables.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,-8.288,NaN
0,0,-5.2563,NaN
0,0,46.976,NaN
0.0023491,0.46983,88.422,NaN
0.01147,1.3544,88.696,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.02945,2.2417,87.078,NaN
0.056223,3.1129,74.038,NaN
0.091055,3.8536,61.126,NaN
0.13265,4.465,60.493,NaN
0.18032,5.0702,61.907,NaN
0.23412,5.6894,63.319,NaN
0.29418,6.3228,64.731,NaN
0.36065,6.9703,66.143,NaN
0.43366,7.6319,66.784,NaN
0.51332,8.2999,66.655,NaN
0.59965,8.9666,66.526,NaN
0.69264,9.632,66.395,NaN
0.79228,10.296,66.263,NaN
0.89856,10.959,66.129,NaN
1.0115,11.62,65.995,NaN
1.131,12.281,65.86,NaN
1.2571,12.939,65.725,NaN
1.3897,13.597,65.588,NaN
1.529,14.253,65.451,NaN
1.6748,14.907,65.313,NaN
1.8271,15.561,65.174,NaN
1.986,16.212,65.035,NaN
# Event LAUNCHROD occurred at t=0.27 seconds
2.1514,16.863,64.994,0.62654
2.4116,17.838,64.74,0.66863
2.8293,19.294,64.358,0.72768
3.5171,21.464,63.737,0.80485
4.6699,24.646,62.59,0.89908
5.8513,27.486,61.742,0.98295
7.0044,29.968,60.985,1.0733
8.1882,32.288,60.215,1.1623
9.4367,34.538,59.411,1.247
10.776,36.768,58.529,1.382
12.444,39.327,57.352,1.5212
14.481,42.184,55.849,1.73
16.66,44.963,54.256,1.8146
18.976,47.659,52.508,1.6787
21.424,50.264,50.666,1.5846
23.118,51.939,49.622,1.5418
24.518,53.257,48.736,1.5163
25.769,54.387,48.018,1.5096
26.956,55.423,47.402,1.513
28.117,56.405,46.837,1.5164
29.253,57.34,46.315,1.5182
30.362,58.229,45.877,1.5262
31.464,59.091,45.579,1.5537
32.621,59.978,45.326,1.5893
33.877,60.922,45.111,1.6351
35.299,61.969,44.929,1.6967
37.061,63.239,44.712,1.7781
39.684,65.074,44.307,1.9009
42.993,67.297,43.63,1.9032
46.413,69.489,42.971,1.828
49.13,71.16,42.578,1.7564
50.766,72.136,42.347,1.7393
52.213,72.981,41.955,1.7413
53.633,73.793,41.516,1.7501
55.069,74.596,41.048,1.7619
56.543,75.402,40.588,1.7806
58.111,76.24,40.509,1.8072
59.865,77.164,40.47,1.8438
61.997,78.27,40.252,1.8989
65.244,79.897,35.986,1.9991
69.283,81.658,27.425,1.9144
72.343,82.72,19.26,1.8902
74.647,83.28,13.177,1.8807
76.719,83.613,7.1216,1.8794
78.726,83.786,1.1256,1.8861
80.795,83.813,-3.6826,1.9012
